id;first_name;last_name;email;phone;address_line;city;country;created_date;langue_client;statut_client
1;Gregorio;Goyette;Lonie52@hotmail.com;(761) 830-6757 x948;paradigm;Port Devyn;Iceland;2019-12-22;ENGLISH;NON
2;Monroe;West;Mckenna28@gmail.com;988.740.6882;Springs Checking Account;Hahnside;Suriname;2019-12-22;ENGLISH;OUI
3;Lauren;Kutch;Caesar11@hotmail.com;906-686-1123 x574;Ergonomic online;North Newellview;Aruba;2019-12-22;FRENCH;OUI
4;Dalton;Gutkowski;Roderick_Hamill@gmail.com;1-275-104-9499;Enhanced;Moriahland;Lao People's Democratic Republic;2019-12-22;ENGLISH;OUI
5;Coralie;Pfeffer;Turner35@gmail.com;120.213.9353;Gorgeous reboot;South Lucie;Liberia;2019-12-22;ENGLISH;OUI
6;Otis;Ondricka;Yoshiko_Bashirian@hotmail.com;1-696-116-0007;Cambridgeshire Central Hollow;Gutkowskistad;Austria;2019-12-22;FRENCH;OUI
7;Eda;Dooley;Felipa.MacGyver@hotmail.com;654-518-1991 x73643;Soap;Morarville;Albania;2019-12-22;ENGLISH;OUI
8;Oliver;Pollich;Laury9@yahoo.com;1-830-757-5561 x5536;schemas Cocos (Keeling) Islands;Mitchellstad;Kazakhstan;2019-12-22;FRENCH;OUI
9;Adah;Kihn;Eileen.Strosin77@yahoo.com;1-445-438-2144 x4779;white;New Macie;Montenegro;2019-12-22;FRENCH;OUI
10;Susan;Wolf;Jailyn.Moore@gmail.com;814-604-1985;generating Credit Card Account Cambridgeshire;North Alana;Dominican Republic;2019-12-22;FRENCH;NON
